tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1462758,movie,Buried,Buried,0,2010.0,\N,95,"Drama,Mystery,Thriller",7.0,159010.0
tt0104291,movie,Forever Young,Forever Young,0,1992.0,\N,102,"Drama,Romance,Sci-Fi",6.3,47154.0
tt2234261,movie,The Love Punch,The Love Punch,0,2013.0,\N,94,Comedy,5.7,14510.0
tt0107983,movie,Romeo Is Bleeding,Romeo Is Bleeding,0,1993.0,\N,110,"Crime,Drama,Romance",6.6,14043.0
tt1725986,movie,Some Kind of Beautiful,Some Kind of Beautiful,0,2014.0,\N,99,"Comedy,Romance",5.7,14845.0
tt0974015,movie,Justice League,Justice League,0,2017.0,\N,120,"Action,Adventure,Fantasy",6.1,440868.0
tt1077368,movie,Dark Shadows,Dark Shadows,0,2012.0,\N,113,"Comedy,Fantasy,Horror",6.2,262468.0
tt0096928,movie,Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure,0,1989.0,\N,90,"Adventure,Comedy,Music",6.9,128459.0
tt0367652,movie,Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,0,2005.0,\N,83,Comedy,4.6,50632.0
tt0104850,movie,Memoirs of an Invisible Man,Memoirs of an Invisible Man,0,1992.0,\N,99,"Comedy,Romance,Sci-Fi",6.0,24830.0
tt1745686,movie,The Wall,Die Wand,0,2012.0,\N,108,"Drama,Mystery,Sci-Fi",6.7,6387.0
tt0081534,movie,Somewhere in Time,Somewhere in Time,0,1980.0,\N,103,"Drama,Fantasy,Romance",7.2,29061.0
tt2097298,movie,"McFarland, USA","McFarland, USA",0,2015.0,\N,129,"Biography,Drama,Sport",7.4,38357.0
tt0116654,movie,The Island of Dr. Moreau,The Island of Dr. Moreau,0,1996.0,\N,96,"Horror,Sci-Fi,Thriller",4.5,33269.0
tt0107166,movie,Hum Hain Rahi Pyar Ke,Hum Hain Rahi Pyar Ke,0,1993.0,\N,163,"Comedy,Drama,Romance",7.3,5769.0
tt0113041,movie,Father of the Bride Part II,Father of the Bride Part II,0,1995.0,\N,106,"Comedy,Family,Romance",6.0,37567.0
tt0084917,movie,The World According to Garp,The World According to Garp,0,1982.0,\N,136,"Comedy,Drama",7.1,26636.0
tt11656172,movie,Hard Kill,Hard Kill,0,2020.0,\N,98,"Action,Thriller",3.4,19739.0
tt4333674,movie,Hunterrr,Hunterrr,0,2015.0,\N,141,"Comedy,Romance",7.0,6194.0
tt6738136,movie,Revenge,Revenge,0,2017.0,\N,108,"Action,Horror,Thriller",6.4,42322.0
tt1434435,movie,Mother's Day,Mother's Day,0,2010.0,\N,112,"Drama,Horror,Thriller",6.2,17244.0
tt3808342,movie,Son of Saul,Saul fia,0,2015.0,\N,107,"Drama,War",7.4,48298.0
tt1386703,movie,Total Recall,Total Recall,0,2012.0,\N,118,"Action,Adventure,Sci-Fi",6.2,251851.0
tt8359816,movie,Sorry We Missed You,Sorry We Missed You,0,2019.0,\N,101,Drama,7.6,21713.0
tt0101393,movie,Backdraft,Backdraft,0,1991.0,\N,137,"Action,Drama,Mystery",6.7,78902.0
tt0144084,movie,American Psycho,American Psycho,0,2000.0,\N,102,"Crime,Drama,Horror",7.6,564548.0
tt8435002,movie,Great White,Great White,0,2021.0,\N,91,"Horror,Thriller",4.2,6885.0
tt5311546,movie,Natsamrat,Natsamrat,0,2016.0,\N,166,"Drama,Family",8.8,6510.0
tt1247704,movie,Women in Trouble,Women in Trouble,0,2009.0,\N,92,"Comedy,Drama",5.6,6209.0
tt0810784,movie,Bright Star,Bright Star,0,2009.0,\N,119,"Biography,Drama,Romance",6.9,27289.0
tt8633478,movie,Run,Run,0,2020.0,\N,90,"Mystery,Thriller",6.7,68387.0
tt0277941,movie,Ned Kelly,Ned Kelly,0,2003.0,\N,110,"Action,Adventure,Biography",6.4,26942.0
tt0090180,movie,To Live and Die in L.A.,To Live and Die in L.A.,0,1985.0,\N,116,"Action,Crime,Drama",7.3,33106.0
tt2599716,movie,Police Story: Lockdown,Jing cha gu shi 2013,0,2013.0,\N,110,"Action,Crime,Drama",5.9,9843.0
tt0421238,movie,The Proposition,The Proposition,0,2005.0,\N,104,"Crime,Drama,Western",7.3,52335.0
tt10350626,movie,Gunjan Saxena: The Kargil Girl,Gunjan Saxena: The Kargil Girl,0,2020.0,\N,112,"Action,Biography,Drama",5.6,34420.0
tt0481797,movie,Youth Without Youth,Youth Without Youth,0,2007.0,\N,124,"Drama,Fantasy,Mystery",6.1,13570.0
tt0108330,movie,This Boy's Life,This Boy's Life,0,1993.0,\N,115,"Biography,Drama",7.3,52231.0
tt0099817,movie,Dark Angel,Dark Angel,0,1990.0,\N,91,"Action,Crime,Horror",6.1,12023.0
tt0183523,movie,Mission to Mars,Mission to Mars,0,2000.0,\N,114,"Adventure,Sci-Fi,Thriller",5.6,73028.0
tt0086510,movie,Under Fire,Under Fire,0,1983.0,\N,128,"Drama,War",7.0,7728.0
tt2704998,movie,Game Night,Game Night,0,2018.0,\N,100,"Action,Adventure,Comedy",6.9,228769.0
tt3707114,movie,Janis: Little Girl Blue,Janis: Little Girl Blue,0,2015.0,\N,103,"Biography,Documentary,Music",7.4,5378.0
tt15097216,movie,Jai Bhim,Jai Bhim,0,2021.0,\N,164,"Crime,Drama,Mystery",8.9,187420.0
tt10008784,movie,Bull,Bull,0,2019.0,\N,108,Drama,6.9,5324.0
tt0335345,movie,The Passion of the Christ,The Passion of the Christ,0,2004.0,\N,127,Drama,7.2,228991.0
tt0425430,movie,The Messengers,The Messengers,0,2007.0,\N,90,"Drama,Horror,Mystery",5.3,39698.0
tt2852376,movie,Heli,Heli,0,2013.0,\N,105,"Crime,Drama,Romance",6.8,5082.0
tt0256415,movie,Sweet Home Alabama,Sweet Home Alabama,0,2002.0,\N,108,"Comedy,Romance",6.2,111519.0
tt7170950,movie,Like Father,Like Father,0,2018.0,\N,98,"Comedy,Drama",6.1,21220.0
tt0093418,movie,Like Father Like Son,Like Father Like Son,0,1987.0,\N,100,"Comedy,Fantasy",5.1,6023.0
tt0944835,movie,Salt,Salt,0,2010.0,\N,100,"Action,Thriller",6.4,310580.0
tt0870204,movie,Boot Camp,Boot Camp,0,2008.0,\N,99,"Crime,Drama,Thriller",5.8,8885.0
tt12472554,movie,Mahaan,Mahaan,0,2022.0,\N,163,"Action,Drama,Thriller",7.7,12400.0
tt1772240,movie,Apollo 18,Apollo 18,0,2011.0,\N,86,"Horror,Mystery,Sci-Fi",5.2,55489.0
tt2717860,movie,The Riot Club,The Riot Club,0,2014.0,\N,107,"Drama,Thriller",6.0,22802.0
tt4486986,movie,All I See Is You,All I See Is You,0,2016.0,\N,109,Drama,5.4,11921.0
tt1867093,movie,The Samaritan,The Samaritan,0,2012.0,\N,90,"Action,Crime,Drama",5.6,9878.0
tt0810913,movie,Jack and Jill,Jack and Jill,0,2011.0,\N,91,Comedy,3.3,83595.0
tt0469263,movie,The Astronaut Farmer,The Astronaut Farmer,0,2006.0,\N,104,"Adventure,Drama,Sci-Fi",6.3,22692.0
tt1821658,movie,The Nut Job,The Nut Job,0,2013.0,\N,85,"Adventure,Animation,Comedy",5.7,28282.0
tt1618448,movie,Racing Extinction,Racing Extinction,0,2015.0,\N,90,"Adventure,Documentary,News",8.2,7850.0
tt0384806,movie,The Amityville Horror,The Amityville Horror,0,2005.0,\N,90,Horror,5.9,111332.0
tt1331025,movie,The September Issue,The September Issue,0,2009.0,\N,90,Documentary,7.0,7683.0
tt10230404,movie,Ghost Stories,Ghost Stories,0,2020.0,\N,144,"Horror,Thriller",4.4,5158.0
tt0082353,movie,Eyewitness,Eyewitness,0,1981.0,\N,103,"Crime,Drama,Mystery",6.0,5108.0
tt2528814,movie,God's Not Dead,God's Not Dead,0,2014.0,\N,113,Drama,4.6,42547.0
tt6317656,movie,Penguin Bloom,Penguin Bloom,0,2020.0,\N,95,"Biography,Drama",6.8,9772.0
tt6063090,movie,Light of My Life,Light of My Life,0,2019.0,\N,119,"Drama,Sci-Fi,Thriller",6.6,13220.0
tt2764784,movie,Phoenix,Phoenix,0,2014.0,\N,98,"Drama,History,Music",7.3,18651.0
tt0107563,movie,The Meteor Man,The Meteor Man,0,1993.0,\N,100,"Action,Comedy,Fantasy",5.1,8228.0
tt10230994,movie,Beckett,Beckett,0,2021.0,\N,110,"Action,Crime,Drama",5.6,25109.0
tt0110364,movie,Little Giants,Little Giants,0,1994.0,\N,107,"Comedy,Family,Sport",6.4,28485.0
tt0795461,movie,Scary Movie V,Scary Movie 5,0,2013.0,\N,88,Comedy,3.5,70699.0
tt0116448,movie,The Great White Hype,The Great White Hype,0,1996.0,\N,91,"Comedy,Sport",5.5,10224.0
tt2193418,movie,Hammer of the Gods,Hammer of the Gods,0,2013.0,\N,99,"Action,History,Horror",4.5,8075.0
tt0418819,movie,Land of the Dead,Land of the Dead,0,2005.0,\N,93,"Horror,Sci-Fi,Thriller",6.2,95977.0
tt0102070,movie,Hudson Hawk,Hudson Hawk,0,1991.0,\N,100,"Action,Adventure,Comedy",5.7,56132.0
tt3495000,movie,Mardaani,Mardaani,0,2014.0,\N,113,"Action,Crime,Drama",7.3,12537.0
tt6977240,movie,Starship Troopers: Traitor of Mars,Starship Troopers: Traitor of Mars,0,2017.0,\N,88,"Action,Animation,Sci-Fi",5.5,5777.0
tt2556308,movie,Holiday: A Soldier is Never Off Duty,Holiday,0,2014.0,\N,160,"Action,Crime,Thriller",7.2,28035.0
tt1684628,movie,Circumstance,Circumstance,0,2011.0,\N,107,Drama,5.9,7618.0
tt0259484,movie,Paid in Full,Paid in Full,0,2002.0,\N,97,"Action,Crime,Drama",7.0,12380.0
tt0110308,movie,The Last Seduction,The Last Seduction,0,1994.0,\N,110,"Crime,Drama,Romance",7.0,23191.0
tt0108185,movie,Sommersby,Sommersby,0,1993.0,\N,114,"Drama,Mystery,Romance",6.2,21773.0
tt0086058,movie,The Osterman Weekend,The Osterman Weekend,0,1983.0,\N,103,"Action,Drama,Thriller",5.8,8655.0
tt1805297,movie,The Women on the 6th Floor,Les femmes du 6e étage,0,2010.0,\N,102,Comedy,7.1,10230.0
tt0255094,movie,The Circle,Dayereh,0,2000.0,\N,90,Drama,7.4,6189.0
tt2224026,movie,Home,Home,0,2015.0,\N,94,"Adventure,Animation,Comedy",6.6,100634.0
tt5640450,movie,ARQ,ARQ,0,2016.0,\N,88,"Action,Sci-Fi,Thriller",6.3,38731.0
tt0926380,movie,The Boys Are Back,The Boys Are Back,0,2009.0,\N,104,Drama,6.8,10226.0
tt1248971,movie,Cherrybomb,Cherrybomb,0,2009.0,\N,76,"Action,Drama,Romance",5.9,7299.0
tt0082031,movie,Arthur,Arthur,0,1981.0,\N,97,"Comedy,Romance",6.9,28329.0
tt0100339,movie,Patlabor: The Movie,Kidô keisatsu patorebâ: Gekijô-ban,0,1989.0,\N,100,"Action,Animation,Crime",7.0,5027.0
tt2953050,movie,Encanto,Encanto,0,2021.0,\N,102,"Animation,Comedy,Family",7.2,190370.0
tt0949731,movie,The Happening,The Happening,0,2008.0,\N,91,"Adventure,Sci-Fi,Thriller",5.0,204990.0
tt5034266,movie,Our Souls at Night,Our Souls at Night,0,2017.0,\N,103,"Drama,Romance",6.9,13353.0
tt3128900,movie,Miss Meadows,Miss Meadows,0,2014.0,\N,88,"Comedy,Crime,Drama",5.7,8411.0
tt0292542,movie,Son of the Bride,El hijo de la novia,0,2001.0,\N,123,"Comedy,Drama",7.8,15556.0
tt0096251,movie,Tetsuo: The Iron Man,Tetsuo,0,1989.0,\N,67,"Horror,Sci-Fi",6.9,22161.0
