tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0084805,movie,Tootsie,Tootsie,0,1982,\N,116,"Comedy,Drama,Romance",7.4,104972.0
tt0215129,movie,Road Trip,Road Trip,0,2000,\N,93,Comedy,6.5,167601.0
tt1504320,movie,The King's Speech,The King's Speech,0,2010,\N,118,"Biography,Drama,History",8.0,670201.0
tt1298650,movie,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,0,2011,\N,137,"Action,Adventure,Fantasy",6.6,512405.0
tt2481498,movie,"Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",0,2019,\N,110,"Biography,Crime,Drama",6.7,91098.0
tt0145487,movie,Spider-Man,Spider-Man,0,2002,\N,121,"Action,Adventure,Sci-Fi",7.4,793114.0
tt11032374,movie,Demon Slayer the Movie: Mugen Train,Kimetsu no Yaiba: Mugen Ressha-Hen,0,2020,\N,117,"Action,Adventure,Animation",8.2,51816.0
tt1355631,movie,The Infiltrator,The Infiltrator,0,2016,\N,127,"Biography,Crime,Drama",7.0,73139.0
tt1512235,movie,Super,Super,0,2010,\N,96,"Action,Comedy,Crime",6.7,79388.0
tt0131857,movie,BASEketball,BASEketball,0,1998,\N,103,"Comedy,Sport",6.5,61429.0
tt0385752,movie,The Golden Compass,The Golden Compass,0,2007,\N,113,"Adventure,Family,Fantasy",6.1,186451.0
tt2191701,movie,Grown Ups 2,Grown Ups 2,0,2013,\N,101,Comedy,5.3,151545.0
tt0318649,movie,Sahara,Sahara,0,2005,\N,124,"Action,Adventure,Comedy",6.0,97381.0
tt1379182,movie,Dogtooth,Kynodontas,0,2009,\N,97,"Drama,Thriller",7.2,93558.0
tt0109506,movie,The Crow,The Crow,0,1994,\N,102,"Action,Crime,Drama",7.5,179305.0
tt6791096,movie,I Feel Pretty,I Feel Pretty,0,2018,\N,110,"Comedy,Romance",5.6,53219.0
tt0327679,movie,Ella Enchanted,Ella Enchanted,0,2004,\N,96,"Comedy,Family,Fantasy",6.3,67422.0
tt0498399,movie,We Own the Night,We Own the Night,0,2007,\N,117,"Action,Crime,Drama",6.8,88344.0
tt0454848,movie,Inside Man,Inside Man,0,2006,\N,129,"Crime,Drama,Mystery",7.6,365626.0
tt0274558,movie,The Hours,The Hours,0,2002,\N,110,"Drama,Romance",7.5,130493.0
tt1279935,movie,Date Night,Date Night,0,2010,\N,88,"Comedy,Crime,Romance",6.3,161198.0
tt0480249,movie,I Am Legend,I Am Legend,0,2007,\N,101,"Action,Drama,Sci-Fi",7.2,737379.0
tt4154664,movie,Captain Marvel,Captain Marvel,0,2019,\N,123,"Action,Adventure,Sci-Fi",6.8,530362.0
tt0356618,movie,The Forgotten,The Forgotten,0,2004,\N,91,"Drama,Mystery,Sci-Fi",5.8,65771.0
tt0120902,movie,The X Files,The X Files,0,1998,\N,121,"Drama,Mystery,Sci-Fi",7.0,105125.0
tt0054698,movie,Breakfast at Tiffany's,Breakfast at Tiffany's,0,1961,\N,115,"Comedy,Drama,Romance",7.6,177049.0
tt1592873,movie,LOL,LOL,0,2012,\N,97,"Comedy,Drama,Romance",4.3,55803.0
tt5886046,movie,Escape Room,Escape Room,0,2019,\N,99,"Action,Adventure,Horror",6.4,116775.0
tt1327194,movie,The Lucky One,The Lucky One,0,2012,\N,101,"Drama,Mystery,Romance",6.4,107368.0
tt1758692,movie,Like Crazy,Like Crazy,0,2011,\N,86,"Drama,Romance",6.6,61436.0
tt0834001,movie,Underworld: Rise of the Lycans,Underworld: Rise of the Lycans,0,2009,\N,92,"Action,Fantasy,Thriller",6.5,158458.0
tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,"Animation,Drama,Family",7.3,264439.0
tt0155267,movie,The Thomas Crown Affair,The Thomas Crown Affair,0,1999,\N,113,"Crime,Romance,Thriller",6.8,92566.0
tt0780521,movie,The Princess and the Frog,The Princess and the Frog,0,2009,\N,97,"Adventure,Animation,Comedy",7.1,139364.0
tt1216492,movie,Leap Year,Leap Year,0,2010,\N,100,"Comedy,Romance",6.4,102860.0
tt0465234,movie,National Treasure: Book of Secrets,National Treasure: Book of Secrets,0,2007,\N,124,"Action,Adventure,Mystery",6.5,232884.0
tt1130080,movie,The Informant!,The Informant!,0,2009,\N,108,"Biography,Comedy,Crime",6.5,65124.0
tt1711425,movie,21 & Over,21 & Over,0,2013,\N,93,Comedy,5.8,74227.0
tt0245844,movie,The Count of Monte Cristo,The Count of Monte Cristo,0,2002,\N,131,"Action,Adventure,Drama",7.7,136306.0
tt1172570,movie,Bronson,Bronson,0,2008,\N,92,"Action,Biography,Crime",7.0,129224.0
tt1502407,movie,Halloween,Halloween,0,2018,\N,106,"Crime,Horror,Thriller",6.5,145119.0
tt0091530,movie,The Mission,The Mission,0,1986,\N,125,"Adventure,Drama,History",7.4,60640.0
tt0947810,movie,Green Zone,Green Zone,0,2010,\N,115,"Action,Drama,Thriller",6.8,136404.0
tt0268995,movie,The Majestic,The Majestic,0,2001,\N,152,"Drama,Romance",6.9,54491.0
tt0089927,movie,Rocky IV,Rocky IV,0,1985,\N,91,"Drama,Sport",6.8,201061.0
tt1024255,movie,Wild Child,Wild Child,0,2008,\N,98,"Comedy,Drama,Romance",6.0,55734.0
tt1778304,movie,Paranormal Activity 3,Paranormal Activity 3,0,2011,\N,83,"Horror,Mystery",5.8,94227.0
tt0118998,movie,Doctor Dolittle,Doctor Dolittle,0,1998,\N,85,"Comedy,Family,Fantasy",5.4,96421.0
tt0078748,movie,Alien,Alien,0,1979,\N,117,"Horror,Sci-Fi",8.5,851895.0
tt0070909,movie,Westworld,Westworld,0,1973,\N,88,"Action,Sci-Fi,Thriller",6.9,56987.0
tt0093437,movie,The Lost Boys,The Lost Boys,0,1987,\N,97,"Comedy,Horror",7.2,138389.0
tt4846340,movie,Hidden Figures,Hidden Figures,0,2016,\N,127,"Biography,Drama,History",7.8,222056.0
tt0348836,movie,Gothika,Gothika,0,2003,\N,98,"Horror,Mystery,Thriller",5.8,112088.0
tt3011894,movie,Wild Tales,Relatos salvajes,0,2014,\N,122,"Comedy,Drama,Thriller",8.1,193351.0
tt0112883,movie,Don Juan DeMarco,Don Juan DeMarco,0,1994,\N,97,"Comedy,Drama,Romance",6.7,50441.0
tt4680182,movie,Colossal,Colossal,0,2016,\N,109,"Comedy,Drama,Fantasy",6.2,63823.0
tt0120762,movie,Mulan,Mulan,0,1998,\N,88,"Adventure,Animation,Comedy",7.6,279064.0
tt0274166,movie,Johnny English,Johnny English,0,2003,\N,89,"Action,Adventure,Comedy",6.2,157818.0
tt0250223,movie,Asterix & Obelix: Mission Cleopatra,Astérix & Obélix: Mission Cléopâtre,0,2002,\N,107,"Adventure,Comedy,Family",6.6,52277.0
tt0044079,movie,Strangers on a Train,Strangers on a Train,0,1951,\N,101,"Crime,Drama,Film-Noir",7.9,132069.0
tt2222042,movie,Love and Monsters,Love and Monsters,0,2020,\N,109,"Action,Adventure,Comedy",6.9,120270.0
tt0163187,movie,Runaway Bride,Runaway Bride,0,1999,\N,116,"Comedy,Romance",5.5,97831.0
tt6806448,movie,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,0,2019,\N,137,"Action,Adventure,Thriller",6.5,204985.0
tt1234719,movie,Red Dawn,Red Dawn,0,2012,\N,93,"Action,Drama",5.3,76621.0
tt0098635,movie,When Harry Met Sally...,When Harry Met Sally...,0,1989,\N,95,"Comedy,Drama,Romance",7.7,212764.0
